OID_,OBJECTID,GEO_ID,TYPE_DESC,SCODE_NAME,LCODE_NAME,NAME
3077,4304998,1581.000000000000000,CGSP,1581,1581,WHITEBIRCH ROAD ISLAND
3078,4304999,1133.000000000000000,CGSP,1133,1133,WINCOTT PARK
3079,4305096,524.000000000000000,CGSP,524,524,INGLEPORT CUL-DE-SAC
3080,4305097,773.000000000000000,CGSP,773,773,NORWOOD PARK
3081,4304891,243.000000000000000,CGSP,243,243,CRESTHAVEN PARK
3082,4305632,590.000000000000000,CGSP,590,590,KNIGHTS OF COLUMBUS PARK
3083,4305633,904.000000000000000,CGSP,904,904,ROYAL CREST PARK
3084,4305503,1045.000000000000000,CGSP,1045,1045,TOPHAM PARK
3085,4305504,1327.000000000000000,CGSP,1327,1327,GLEN PARK PARKETTE
3086,4305505,676.000000000000000,CGSP,676,676,MARBLE HILL PARKETTE
3087,4305047,1455.000000000000000,CGSP,1455,1455,PARKVIEW GARDENS PARKETTE
3088,4305048,401.000000000000000,CGSP,401,401,GEORGE BEN PARK
3089,4305049,1232.000000000000000,CGSP,1232,1232,CHESTNUT HILLS ISLAND
3090,4305051,235.000000000000000,CGSP,235,235,COULTER AVE PARKETTE
3091,4304961,1163.000000000000000,CGSP,1163,1163,ADDINGTON GREENBELT
3092,4305098,255.000000000000000,CGSP,255,255,ROBERTSON PARKETTE
3093,4305099,31624.000000000000000,CGSP,31624,31624,BOOTH YARD
3094,4305100,181.000000000000000,CGSP,181,181,CHARLES G. WILLIAMS PARK
3095,4305101,1354.000000000000000,CGSP,1354,1354,HUMBER MARSHES
3096,4305102,980.000000000000000,CGSP,980,980,ST. ANDREW'S PLAYGROUND
3097,4305000,6.000000000000000,CGSP,6,6,MARYLAND PARK
3098,4305001,933.000000000000000,CGSP,933,933,SENATOR PETER BOSA PARKETTE
3099,4305002,1420.000000000000000,CGSP,1420,1420,MOORE PARK RAVINE
3100,4305003,1332.000000000000000,CGSP,1332,1332,GREEN HILLS PARK
3101,4304884,141.000000000000000,CGSP,141,141,BURNETT PARK
3102,4304885,32808.000000000000000,CGSP,32808,32808,LESLIE STREET ALLOTMENT GARDENS
3103,4304886,1311.000000000000000,CGSP,1311,1311,FRED JOHNSON PARK
3104,4304887,45182.000000000000000,CGSP,45182,45182,BRISTOL AVENUE PARKETTE EAST
